公司,代號,股價 (50 Days ago),股價 (Today),漲幅
南亞,1303,77.50,78.50,1.29%
中鋼,2002,29.30,29.75,1.54%
聯電,2303,49.85,53.70,7.72%
台積電,2330,501.00,583.00,16.37%
富邦金,2881,58.80,61.10,3.91%
台塑,1301,93.90,92.60,-1.38%
仁寶,2324,24.30,28.90,18.93%
友達,2409,17.30,19.60,13.29%
華南金,2880,21.90,22.25,1.60%
國泰金,2882,42.50,44.35,4.35%
兆豐金,2886,34.10,37.45,9.82%
台新金,2887,17.35,19.00,9.51%
中信金,2891,22.90,25.05,9.39%
統一,1216,73.90,78.20,5.82%
遠東新,1402,32.25,32.75,1.55%
華新,1605,50.40,46.90,-6.94%
中環,2323,8.03,14.25,77.46%
佳世達,2352,35.55,46.80,31.65%
大同,2371,33.65,49.95,48.44%
南亞科,2408,66.70,77.40,16.04%
長榮,2603,155.50,162.50,4.50%
陽明,2609,61.90,63.20,2.10%
華航,2610,19.00,27.55,45.00%
彰銀,2801,18.00,18.85,4.72%
新光金,2888,8.44,9.01,6.75%
永豐金,2890,16.85,17.30,2.67%
台泥,1101,39.90,38.55,-3.38%
台化,1326,69.30,67.90,-2.02%
鴻海,2317,106.00,112.50,6.13%
旺宏,2337,32.80,32.60,-0.61%
華碩,2357,286.00,310.00,8.39%
廣達,2382,89.60,145.00,61.83%
中華電,2412,125.50,126.00,0.40%
玉山金,2884,24.90,26.30,5.62%
元大金,2885,22.70,24.25,6.83%
第一金,2892,27.20,27.80,2.21%
群創,3481,13.90,15.70,12.95%
宏碁,2353,30.65,32.65,6.53%
聯發科,2454,671.00,691.00,2.98%
潤泰全,2915,57.50,59.30,3.13%
緯創,3231,50.10,77.70,55.09%
亞泥,1102,44.25,44.10,-0.34%
大成,1210,51.80,51.40,-0.77%
國喬,1312,20.10,19.20,-4.48%
中石化,1314,10.05,9.87,-1.79%
東陽,1319,48.55,54.50,12.26%
南紡,1440,16.95,16.50,-2.65%
東元,1504,46.25,56.90,23.03%
亞德客-KY,1590,"1,080.00","1,025.00",-5.09%
中纖,1718,8.43,8.26,-2.02%
台肥,1722,59.50,61.40,3.19%
東和鋼鐵,2006,57.10,58.80,2.98%
中鴻,2014,24.20,24.65,1.86%
大成鋼,2027,44.85,47.50,5.91%
上銀,2049,235.00,243.50,3.62%
川湖,2059,414.00,507.00,22.46%
正新,2105,37.95,41.05,8.17%
裕隆,2201,80.00,83.10,3.87%
光寶科,2301,75.90,105.00,38.34%
台達電,2308,298.00,369.00,23.83%
華通,2313,43.30,43.30,0.00%
精英,2331,25.55,29.85,16.83%
友訊,2332,17.90,20.25,13.13%
台亞,2340,35.00,40.30,15.14%
華邦電,2344,25.55,28.85,12.92%
聯強,2347,61.20,59.20,-3.27%
鴻準,2354,53.80,56.10,4.28%
技嘉,2376,135.00,256.00,89.63%
微星,2377,143.00,174.00,21.68%
瑞昱,2379,363.50,392.00,7.84%
正崴,2392,42.45,41.60,-2.00%
億光,2393,40.20,48.80,21.39%
凌陽,2401,23.95,30.35,26.72%
漢唐,2404,217.50,213.50,-1.84%
京元電子,2449,46.50,55.80,20.00%
全新,2455,96.30,126.00,30.84%
義隆,2458,95.10,102.00,7.26%
可成,2474,182.50,190.50,4.38%
強茂,2481,67.00,68.20,1.79%
兆赫,2485,19.30,20.50,6.22%
瑞軒,2489,11.50,14.60,26.96%
華新科,2492,95.90,94.80,-1.15%
宏達電,2498,57.50,58.70,2.09%
中工,2515,10.35,11.15,7.73%
冠德,2520,29.55,29.70,0.51%
興富發,2542,42.20,42.15,-0.12%
華固,2548,94.70,90.60,-4.33%
新興,2605,22.20,21.15,-4.73%
長榮航,2618,27.05,39.85,47.32%
臺企銀,2834,14.05,14.20,1.07%
農林,2913,24.70,23.60,-4.45%
晶豪科,3006,80.30,85.80,6.85%
大立光,3008,"1,990.00","2,160.00",8.54%
亞光,3019,64.20,66.60,3.74%
聯詠,3034,425.50,449.00,5.52%
智原,3035,170.00,196.00,15.29%
文曄,3036,67.10,67.90,1.19%
欣興,3037,143.50,188.50,31.36%
晶技,3042,85.90,95.60,11.29%
景碩,3189,106.50,116.50,9.39%
新日興,3376,87.60,90.60,3.42%
明泰,3380,35.85,39.10,9.07%
創意,3443,"1,095.00","1,690.00",54.34%
嘉澤,3533,925.00,890.00,-3.78%
健策,3653,476.00,666.00,39.92%
TPK-KY,3673,37.50,42.70,13.87%
大聯大,3702,50.30,54.50,8.35%
和碩,4938,70.50,76.40,8.37%
長虹,5534,79.70,80.50,1.00%
嘉聯益,6153,23.10,24.05,4.11%
瑞儀,6176,113.00,124.50,10.18%
聯茂,6213,70.40,70.50,0.14%
力成,6239,92.40,103.00,11.47%
同欣電,6271,170.50,184.50,8.21%
台表科,6278,98.60,100.50,1.93%
康舒,6282,43.20,46.90,8.56%
啟碁,6285,94.90,95.10,0.21%
台虹,8039,41.55,43.70,5.17%
達方,8163,44.40,47.25,6.42%
寶成,9904,31.55,31.75,0.63%
宏全,9939,100.00,107.00,7.00%
潤泰新,9945,35.50,36.15,1.83%
聚陽,1477,225.50,266.50,18.18%
台玻,1802,19.50,19.20,-1.54%
廣宇,2328,38.10,40.10,5.25%
健鼎,3044,117.00,120.00,2.56%
台灣大,3045,103.00,102.50,-0.49%
玉晶光,3406,378.00,394.50,4.37%
台郡,6269,93.30,91.60,-1.82%
美利達,9914,169.00,201.00,18.93%
合庫金,5880,27.20,28.10,3.31%
英業達,2356,33.05,43.10,30.41%
開發金,2883,13.20,12.70,-3.79%
遠傳,4904,76.70,78.50,2.35%
臻鼎-KY,4958,112.00,105.50,-5.80%
中租-KY,5871,225.00,205.00,-8.89%
儒鴻,1476,487.50,490.00,0.51%
國巨,2327,502.00,496.00,-1.20%
南電,8046,277.50,281.50,1.44%
葡萄王,1707,182.50,170.50,-6.58%
敬鵬,2355,32.10,31.85,-0.78%
致茂,2360,191.50,255.00,33.16%
美律,2439,85.70,93.50,9.10%
矽格,6257,52.20,55.90,7.09%
百和,9938,56.80,54.20,-4.58%
精華,1565,251.00,232.50,-7.37%
穩懋,3105,167.50,173.50,3.58%
璟德,3152,214.00,223.00,4.21%
順達,3211,76.60,79.00,3.13%
威剛,3260,75.80,90.40,19.26%
欣銓,3264,53.90,61.70,14.47%
碩禾,3691,107.50,101.50,-5.58%
晟德,4123,51.30,52.80,2.92%
榮剛,5009,57.70,58.20,0.87%
世界,5347,87.50,88.10,0.69%
中光電,5371,76.20,71.00,-6.82%
中美晶,5483,150.00,160.50,7.00%
新普,6121,310.50,324.50,4.51%
頎邦,6147,65.30,62.70,-3.98%
網家,8044,56.20,53.80,-4.27%
元太,8069,197.50,227.00,14.94%
群聯,8299,393.00,416.00,5.85%
森鉅,8942,67.40,75.00,11.28%
元大台灣50ETF,0050,117.70,130.55,10.92%
元大寶滬深ETF,0061,19.10,18.32,-4.08%
富邦上証ETF,006205,32.15,30.25,-5.91%
元大上證50ETF,006206,30.34,28.68,-5.47%
復華滬深ETF,006207,25.21,23.97,-4.92%
為升,2231,179.00,165.00,-7.82%
彩晶,6116,12.45,13.60,9.24%
胡連,6279,138.50,167.50,20.94%
國泰中國A50ETF,00636,21.61,20.45,-5.37%
富邦深100ETF,00639,12.69,12.17,-4.10%
群益深証中小ETF,00643,14.77,14.39,-2.57%
智邦,2345,298.00,359.00,20.47%
樺漢,6414,254.50,278.50,9.43%
和大,1536,71.00,71.40,0.56%
榮成,1909,17.20,16.90,-1.74%
聯亞,3081,103.50,99.80,-3.57%
同致,3552,141.50,147.00,3.89%
台燿,6274,65.60,73.60,12.20%
環球晶,6488,491.00,507.00,3.26%
精測,6510,478.00,575.00,20.29%
日月光投控,3711,100.50,126.50,25.87%
原相,3227,104.00,113.00,8.65%
智擎,4162,100.50,93.20,-7.26%
泰博,4736,185.00,186.00,0.54%
台半,5425,95.20,99.80,4.83%
元大高股息ETF,0056,28.44,32.48,14.21%
台灣高鐵,2633,31.20,32.40,3.85%
祥碩,5269,"1,155.00","1,170.00",1.30%
力旺,3529,"1,880.00","2,285.00",21.54%
台光電,2383,160.00,243.00,51.88%
信昌電,6173,38.70,43.00,11.11%
合晶,6182,44.00,45.95,4.43%
大江,8436,214.00,175.00,-18.22%
神盾,6462,83.60,108.50,29.78%
宣德,5457,53.80,53.70,-0.19%
金居,8358,55.20,61.20,10.87%
宏捷科,8086,84.30,88.50,4.98%
神達,3706,28.35,34.50,21.69%
雙鴻,3324,249.00,294.50,18.27%
緯穎,6669,"1,210.00","1,200.00",-0.83%
鈊象,3293,534.00,624.00,16.85%
信驊,5274,"2,815.00","2,875.00",2.13%
富采,3714,50.10,53.10,5.99%
裕民,2606,54.00,48.50,-10.19%
台勝科,3532,150.50,165.00,9.63%
永豐餘,1907,31.35,35.20,12.28%
精材,3374,99.40,126.50,27.26%
長興,1717,32.70,33.05,1.07%
正隆,1904,32.00,32.60,1.88%
僑威,3078,56.90,81.80,43.76%
超豐,2441,53.90,55.90,3.71%
南茂,8150,37.35,39.15,4.82%
光罩,2338,81.80,80.20,-1.96%
威盛,2388,75.40,80.50,6.76%
萬海,2615,63.20,61.00,-3.48%
高端疫苗,6547,65.60,60.10,-8.38%
力積電,6770,30.90,31.90,3.24%
奇鋐,3017,166.00,252.00,51.81%
中磊,5388,82.90,95.70,15.44%
漢翔,2634,57.40,65.00,13.24%
中天,4128,63.70,57.40,-9.89%
新唐,4919,131.00,129.50,-1.15%
國泰永續高股息ETF,00878,17.68,19.13,8.20%
大亞,1609,29.20,38.70,32.53%
金像電,2368,98.20,142.00,44.60%
元晶,6443,37.35,35.75,-4.28%
富邦媒,8454,813.00,659.00,-18.94%
合一,4743,248.50,215.50,-13.28%
立端,6245,105.50,111.00,5.21%
寶雅,5904,580.00,576.00,-0.69%
備註,,50天前日期：2023-05-02,今天日期：2023-06-20,
