公司,代號,股價 (50 Days ago),股價 (Today),漲幅
台泥,1101,31.85,34.95,9.73%
亞泥,1102,40.40,41.90,3.71%
嘉泥,1103,16.90,17.40,2.96%
環泥,1104,28.35,29.70,4.76%
幸福,1108,14.40,15.05,4.51%
信大,1109,17.70,17.90,1.13%
東泥,1110,20.30,20.20,-0.49%
味全,1201,17.80,18.05,1.40%
味王,1203,40.20,38.05,-5.35%
大成,1210,51.80,56.10,8.30%
大飲,1213,15.00,15.20,1.33%
卜蜂,1215,92.00,99.70,8.37%
統一,1216,80.90,82.10,1.48%
愛之味,1217,11.70,12.10,3.42%
泰山,1218,19.45,20.10,3.34%
福壽,1219,14.85,15.05,1.35%
台榮,1220,17.10,17.00,-0.58%
福懋油,1225,43.25,48.15,11.33%
佳格,1227,36.25,35.50,-2.07%
聯華,1229,51.20,53.30,4.10%
聯華食,1231,139.00,168.00,20.86%
大統益,1232,145.00,154.00,6.21%
天仁,1233,30.15,30.35,0.66%
黑松,1234,41.30,41.10,-0.48%
興泰,1235,73.00,87.70,20.14%
宏亞,1236,23.20,23.10,-0.43%
鮮活果汁-KY,1256,131.00,158.00,20.61%
台塑,1301,36.25,40.35,11.31%
南亞,1303,31.25,34.50,10.40%
台聚,1304,11.55,12.55,8.66%
華夏,1305,12.25,13.70,11.84%
三芳,1307,38.75,53.80,38.84%
亞聚,1308,14.00,15.25,8.93%
台達化,1309,13.85,14.50,4.69%
台苯,1310,9.59,10.60,10.53%
國喬,1312,10.45,11.25,7.66%
聯成,1313,9.07,9.31,2.65%
中石化,1314,7.19,8.41,16.97%
達新,1315,68.90,69.90,1.45%
上曜,1316,15.15,16.50,8.91%
東陽,1319,109.00,112.50,3.21%
大洋,1321,33.05,36.05,9.08%
永裕,1323,24.60,25.05,1.83%
地球,1324,12.65,12.90,1.98%
恆大,1325,30.85,32.85,6.48%
台化,1326,28.05,30.55,8.91%
再生-KY,1337,6.16,6.77,9.90%
廣華-KY,1338,27.70,29.45,6.32%
昭輝,1339,54.50,58.40,7.16%
勝悅-KY,1340,8.98,9.15,1.89%
富林-KY,1341,68.50,71.00,3.65%
八貫,1342,103.00,110.00,6.80%
遠東新,1402,32.10,32.40,0.93%
新纖,1409,14.60,15.35,5.14%
南染,1410,35.50,35.45,-0.14%
宏洲,1413,10.90,11.85,8.72%
東和,1414,24.20,23.30,-3.72%
廣豐,1416,12.60,12.95,2.78%
嘉裕,1417,9.55,9.37,-1.88%
東華,1418,27.95,26.35,-5.72%
新紡,1419,43.35,43.50,0.35%
利華,1423,37.10,36.85,-0.67%
大魯閣,1432,20.80,20.90,0.48%
福懋,1434,18.65,19.15,2.68%
中福,1435,34.65,34.80,0.43%
華友聯,1436,123.00,147.00,19.51%
勤益控,1437,33.75,34.95,3.56%
三地開發,1438,58.80,54.70,-6.97%
雋揚,1439,32.25,33.10,2.64%
南紡,1440,14.00,14.80,5.71%
大東,1441,14.00,14.20,1.43%
名軒,1442,71.50,85.30,19.30%
立益物流,1443,30.85,30.55,-0.97%
力麗,1444,8.64,8.70,0.69%
大宇,1445,16.35,17.30,5.81%
宏和,1446,39.25,45.50,15.92%
力鵬,1447,7.07,7.34,3.82%
佳和,1449,23.10,19.20,-16.88%
年興,1451,19.95,20.10,0.75%
宏益,1452,15.25,14.90,-2.30%
大將,1453,14.80,17.85,20.61%
台富,1454,14.75,15.70,6.44%
集盛,1455,9.80,10.20,4.08%
怡華,1456,15.40,16.90,9.74%
宜進,1457,19.70,20.50,4.06%
聯發,1459,9.72,12.55,29.12%
宏遠,1460,7.20,7.31,1.53%
強盛新,1463,25.20,25.25,0.20%
得力,1464,16.90,18.65,10.36%
偉全,1465,14.55,14.10,-3.09%
聚隆,1466,11.75,13.55,15.32%
南緯,1467,10.40,10.65,2.40%
昶和,1468,13.10,13.15,0.38%
大統新創,1470,22.00,22.80,3.64%
首利,1471,13.25,13.10,-1.13%
三洋實業,1472,66.80,75.10,12.43%
台南,1473,33.50,37.45,11.79%
弘裕,1474,12.55,13.80,9.96%
業旺,1475,58.20,58.40,0.34%
儒鴻,1476,519.00,564.00,8.67%
聚陽,1477,329.00,381.00,15.81%
士電,1503,194.50,195.00,0.26%
東元,1504,53.40,54.90,2.81%
正道,1506,12.70,13.25,4.33%
瑞利,1512,6.99,7.00,0.14%
